character	episode	words	profanities
8	97	0.0	0
9	97	0.0	0
10	97	0.0	0
11	97	0.0	0
1	98	1.45	21.74
2	98	1.45	0
3	98	2.01	0
4	98	0.0	0
5	98	2.2	14.29
6	98	0.0	0
7	98	0.13	0
8	98	0.0	0
9	98	0.09	0
10	98	0.0	0
11	98	0.0	0
1	99	29.69	6.65
2	99	13.1	4.31
3	99	7.11	7.94
4	99	0.56	100.0
5	99	5.48	5.15
6	99	0.0	0
7	99	0.0	0
8	99	0.0	0
9	99	0.65	0
10	99	0.37	0
11	99	0.0	0
1	100	22.36	9.56
2	100	5.35	40.0
3	100	5.89	5.18
4	100	0.27	0
5	100	0.15	0
6	100	0.0	0
7	100	8.98	6.8
8	100	0.0	0
9	100	5.1	0
10	100	0.0	0
11	100	0.0	0
1	101	31.33	8.46
2	101	12.28	21.58
3	101	3.93	0
4	101	0.18	0
5	101	1.06	0
6	101	0.0	0
7	101	0.0	0
8	101	0.0	0
9	101	2.25	0
10	101	0.0	0
11	101	0.0	0
1	102	19.12	14.11
2	102	9.44	6.35
3	102	18.08	6.63
4	102	1.23	0
5	102	3.78	7.94
6	102	0.0	0
7	102	0.0	0
8	102	0.0	0
9	102	2.73	0
10	102	0.0	0
11	102	0.0	0
1	103	3.5	28.04
2	103	3.63	0
3	103	13.34	2.45
4	103	0.03	0
5	103	1.93	0
6	103	0.72	0
7	103	15.93	2.05
8	103	0.0	0
9	103	1.73	18.87
10	103	0.0	0
11	103	0.0	0
1	104	8.84	30.93
2	104	7.6	32.0
3	104	7.87	19.31
4	104	0.43	0
5	104	0.18	0
6	104	5.5	16.57
7	104	4.62	19.74
8	104	0.0	0
9	104	16.29	29.85
10	104	0.33	0
11	104	2.61	81.4
1	105	35.37	12.98
2	105	18.76	13.76
3	105	7.0	0
4	105	0.43	0
5	105	2.12	13.51
6	105	0.0	0
7	105	1.09	0
8	105	0.0	0
9	105	0.0	0
10	105	0.0	0
11	105	0.0	0
1	106	12.44	10.93
2	106	3.36	20.2
3	106	9.04	0
4	106	0.27	0
5	106	0.0	0
6	106	0.0	0
7	106	15.77	4.31
8	106	0.0	0
9	106	2.24	0
10	106	0.0	0
11	106	0.0	0
1	107	55.15	8.67
2	107	12.85	48.84
3	107	2.0	0
4	107	0.09	0
5	107	15.75	0
6	107	0.0	0
7	107	0.0	0
8	107	0.0	0
9	107	0.0	0
10	107	0.0	0
11	107	0.0	0
1	108	3.97	34.01
2	108	1.76	46.15
3	108	14.69	11.03
4	108	0.0	0
5	108	0.32	0
6	108	0.0	0
7	108	10.42	12.95
8	108	0.0	0
9	108	2.97	9.09
10	108	0.14	200.0
11	108	0.08	333.33
1	109	19.07	12.78
2	109	12.55	12.14
3	109	4.66	6.54
